 profile , value 
 https://www.twitch.tv/Lynn95/ , 1990112 
 https://www.twitch.tv/Sharron88/ , 1988775 
 https://www.twitch.tv/Raymond91/ , 1987956 
 https://www.twitch.tv/Ross93/ , 1987714 
 https://www.twitch.tv/Dorothy82/ , 1979216 
 https://www.twitch.tv/Michael90/ , 1885488 
 https://www.twitch.tv/Adrian91/ , 1849770 
 https://www.twitch.tv/Angel90/ , 1832967 
 https://www.twitch.tv/Lisa82/ , 1832702 
 https://www.twitch.tv/Ernest84/ , 1783859 
 https://www.twitch.tv/Wendy81/ , 1778396 
 https://www.twitch.tv/Brian93/ , 1766455 
 https://www.twitch.tv/Cathleen92/ , 1763266 
 https://www.twitch.tv/Ian81/ , 1723477 
 https://www.twitch.tv/James83/ , 1698541 
 https://www.twitch.tv/Mary83/ , 1669104 
 https://www.twitch.tv/John86/ , 1639824 
 https://www.twitch.tv/Michael95/ , 1634368 
 https://www.twitch.tv/Julio92/ , 1626906 
 https://www.twitch.tv/Carl92/ , 1617505 
 https://www.twitch.tv/Geralyn84/ , 1599585 
 https://www.twitch.tv/Chris81/ , 1594918 
 https://www.twitch.tv/Jennifer91/ , 1589541 
 https://www.twitch.tv/Karen91/ , 1506403 
